type,release_year,rating,listed_in,content_age,added_year,added_month,movie_duration_minutes,season_count,genre_count,cast_count,primary_country
TV Show,2017,TV-Y7,"Anime Series, Kids' TV",9,2017,11,,2.0,2,15,Japan
TV Show,2017,TV-MA,TV Comedies,9,2017,11,,2.0,1,28,United States
Movie,2017,TV-MA,Stand-Up Comedy,9,2017,11,54.0,,1,1,Mexico
Movie,2017,TV-MA,"Action & Adventure, International Movies",9,2017,11,100.0,,2,10,Brazil
TV Show,2017,TV-MA,"Anime Series, International TV Shows",9,2017,11,,2.0,2,17,Japan
Movie,2002,R,Documentaries,24,2017,11,81.0,,1,10,United States
TV Show,2017,TV-G,Kids' TV,9,2017,11,,6.0,1,9,United States
Movie,2016,R,Dramas,10,2017,11,123.0,,1,6,United States
Movie,2017,TV-MA,Documentaries,9,2017,11,144.0,,1,1,United States
Movie,2017,PG-13,"Comedies, Dramas, International Movies",9,2017,11,153.0,,3,12,India
TV Show,2015,TV-14,"International TV Shows, TV Dramas",11,2017,11,,1.0,2,6,Unknown
TV Show,2017,TV-MA,"Crime TV Shows, International TV Shows, TV Dramas",9,2017,11,,1.0,3,8,Canada
Movie,1978,TV-PG,"Action & Adventure, Dramas, International Movies",48,2017,11,141.0,,3,9,India
Movie,2016,TV-MA,"International Movies, Thrillers",10,2017,11,104.0,,2,8,Spain
Movie,2016,TV-PG,"Action & Adventure, Dramas, International Movies",10,2017,11,97.0,,3,8,United Arab Emirates
Movie,2016,TV-G,"Children & Family Movies, Comedies",10,2017,11,82.0,,2,3,Germany
Movie,2017,TV-MA,"Action & Adventure, Dramas, International Movies",9,2017,11,98.0,,3,2,China
TV Show,2010,TV-MA,"International TV Shows, TV Dramas",16,2017,11,,1.0,2,7,Unknown
TV Show,2007,TV-MA,"International TV Shows, TV Dramas",19,2017,11,,1.0,2,8,Unknown
TV Show,2009,TV-14,"International TV Shows, TV Dramas",17,2017,11,,1.0,2,9,Unknown
TV Show,2008,TV-14,"Crime TV Shows, International TV Shows, TV Action & Adventure",18,2017,11,,1.0,3,6,Unknown
TV Show,2009,TV-14,"International TV Shows, TV Dramas",17,2017,11,,1.0,2,9,Singapore
Movie,2017,TV-MA,Stand-Up Comedy,9,2017,10,84.0,,1,1,United States
Movie,2016,R,Documentaries,10,2017,10,76.0,,1,1,United States
Movie,2017,PG-13,"Dramas, Romantic Movies, Sports Movies",9,2017,10,75.0,,3,10,United States
Movie,2017,PG,"Children & Family Movies, Comedies",9,2017,10,93.0,,2,10,Canada
TV Show,2017,TV-14,"Stand-Up Comedy & Talk Shows, TV Mysteries, TV Sci-Fi & Fantasy",9,2017,10,,1.0,3,20,United States
Movie,2017,TV-14,Documentaries,9,2017,10,98.0,,1,1,United States
Movie,2016,R,"Dramas, Independent Movies",10,2017,10,91.0,,2,7,United States
Movie,2015,R,"Action & Adventure, Thrillers",11,2017,10,168.0,,2,12,United States
Movie,2017,TV-MA,Stand-Up Comedy,9,2017,10,68.0,,1,1,United Kingdom
TV Show,2017,TV-MA,"TV Dramas, TV Horror, TV Mysteries",9,2017,10,,1.0,3,11,Canada
TV Show,2017,TV-MA,"British TV Shows, TV Comedies",9,2017,10,,3.0,2,12,United Kingdom
Movie,2017,TV-MA,"Dramas, Thrillers",9,2017,10,103.0,,2,7,United States
TV Show,2017,TV-PG,"TV Comedies, Teen TV Shows",9,2017,10,,2.0,2,6,United States
Movie,2017,TV-14,Documentaries,9,2017,10,95.0,,1,1,United States
TV Show,2017,TV-MA,"Crime TV Shows, Docuseries, International TV Shows",9,2017,10,,1.0,3,1,United States
Movie,2017,TV-MA,Action & Adventure,9,2017,10,82.0,,1,7,United States
Movie,2017,TV-MA,"Comedies, International Movies, Romantic Movies",9,2017,10,94.0,,3,10,France
Movie,2017,TV-MA,Stand-Up Comedy,9,2017,10,66.0,,1,1,United States
Movie,2017,TV-14,"Action & Adventure, International Movies",9,2017,10,135.0,,2,10,India
TV Show,2016,TV-PG,"International TV Shows, Romantic TV Shows, TV Dramas",10,2017,10,,1.0,3,7,Unknown
TV Show,2012,TV-14,"International TV Shows, Romantic TV Shows, TV Comedies",14,2017,10,,1.0,3,7,Unknown
Movie,2017,TV-14,"Dramas, International Movies, Music & Musicals",9,2017,10,144.0,,3,7,India
Movie,2015,TV-MA,"Documentaries, International Movies",11,2017,10,90.0,,2,4,New Zealand
TV Show,2017,TV-Y,Kids' TV,9,2017,10,,1.0,1,3,France
Movie,1960,TV-PG,"Comedies, Dramas, International Movies",66,2017,10,158.0,,3,8,India
TV Show,2015,TV-G,"Docuseries, Reality TV",11,2017,10,,6.0,2,2,United States
Movie,2016,TV-14,"Comedies, Dramas, International Movies",10,2017,10,83.0,,3,6,Germany
Movie,2016,TV-MA,"Dramas, International Movies",10,2017,10,102.0,,2,6,Turkey
Movie,2017,TV-MA,Stand-Up Comedy,9,2017,10,52.0,,1,1,Mexico
Movie,2017,TV-MA,Documentaries,9,2017,10,110.0,,1,1,United Kingdom
Movie,2017,TV-MA,"Comedies, Horror Movies",9,2017,10,85.0,,2,9,United States
Movie,2017,TV-MA,"Comedies, Dramas, Independent Movies",9,2017,10,113.0,,3,11,United States
Movie,2016,TV-MA,"Comedies, International Movies, Romantic Movies",10,2017,10,88.0,,3,5,Saudi Arabia
Movie,2017,TV-MA,"Comedies, Independent Movies, International Movies",9,2017,10,89.0,,3,6,Spain
Movie,2017,TV-MA,Stand-Up Comedy,9,2017,10,59.0,,1,1,United States
TV Show,2017,TV-PG,"Anime Series, International TV Shows",9,2017,10,,1.0,2,9,Japan
TV Show,2017,TV-Y7,Kids' TV,9,2017,10,,2.0,1,10,China
Movie,2017,TV-MA,"Documentaries, LGBTQ Movies",9,2017,10,106.0,,2,1,Greece
Movie,2017,TV-MA,Stand-Up Comedy,9,2017,10,66.0,,1,1,United States
Movie,2012,TV-MA,"Dramas, International Movies, Thrillers",14,2017,10,135.0,,3,10,South Korea
TV Show,2016,TV-Y7,"Anime Series, Kids' TV",10,2017,10,,1.0,2,6,Japan
TV Show,2017,TV-Y7,"Kids' TV, TV Comedies",9,2017,10,,1.0,2,8,United States
Movie,2017,TV-MA,"Comedies, International Movies",9,2017,10,93.0,,2,10,Spain
Movie,2016,TV-MA,"Documentaries, International Movies",10,2017,10,79.0,,2,1,United States
Movie,2017,PG-13,"Documentaries, Sports Movies",9,2017,10,107.0,,2,1,United States
Movie,2016,TV-Y7,"Children & Family Movies, Comedies",10,2017,10,47.0,,2,5,Canada
TV Show,2012,TV-14,"International TV Shows, TV Dramas",14,2017,10,,1.0,2,5,Unknown
TV Show,2016,TV-Y,Kids' TV,10,2017,10,,2.0,1,1,France
TV Show,2004,TV-14,"Classic & Cult TV, TV Action & Adventure, TV Sci-Fi & Fantasy",22,2017,10,,4.0,3,7,United States
TV Show,2000,TV-PG,"TV Action & Adventure, TV Sci-Fi & Fantasy",26,2017,10,,7.0,2,11,United States
TV Show,2013,TV-14,"International TV Shows, Romantic TV Shows, TV Dramas",13,2017,10,,1.0,3,4,Singapore
TV Show,2009,TV-14,"International TV Shows, Romantic TV Shows, TV Dramas",17,2017,10,,1.0,3,9,Singapore
Movie,2016,TV-14,"Dramas, International Movies",10,2017,10,118.0,,2,11,Norway
Movie,2017,TV-MA,"Dramas, Independent Movies, International Movies",9,2017,10,81.0,,3,3,Mexico
TV Show,2017,TV-14,"International TV Shows, TV Dramas",9,2017,10,,1.0,2,9,Taiwan
TV Show,2017,TV-MA,"British TV Shows, Docuseries, International TV Shows",9,2017,9,,1.0,3,1,United Kingdom
Movie,2017,TV-MA,"Horror Movies, Thrillers",9,2017,9,103.0,,2,5,United States
Movie,2017,TV-14,Documentaries,9,2017,9,40.0,,1,1,United States
TV Show,2015,TV-PG,"International TV Shows, TV Comedies, TV Dramas",11,2017,9,,1.0,3,4,Unknown
Movie,2017,TV-14,"Dramas, Romantic Movies",9,2017,9,103.0,,2,7,United States
Movie,2017,TV-MA,"Documentaries, International Movies",9,2017,9,85.0,,2,1,Unknown
TV Show,2017,TV-14,"British TV Shows, Docuseries, International TV Shows",9,2017,9,,1.0,3,1,United Kingdom
TV Show,2017,TV-MA,TV Comedies,9,2017,9,,2.0,1,4,United States
TV Show,2014,TV-PG,"International TV Shows, TV Dramas",12,2017,9,,1.0,2,6,Unknown
Movie,2015,TV-MA,"Dramas, Independent Movies, International Movies",11,2017,9,104.0,,3,8,France
Movie,2017,TV-MA,Stand-Up Comedy,9,2017,9,82.0,,1,16,United States
TV Show,2017,TV-14,"International TV Shows, Reality TV",9,2017,9,,4.0,2,6,United States
TV Show,2017,TV-14,"TV Sci-Fi & Fantasy, TV Thrillers",9,2017,9,,3.0,2,7,Canada
Movie,2014,NC-17,"Comedies, International Movies",12,2017,9,112.0,,2,10,Canada
Movie,2017,TV-MA,"Comedies, Horror Movies, International Movies",9,2017,9,102.0,,3,8,Spain
Movie,2017,TV-MA,"Documentaries, Music & Musicals",9,2017,9,101.0,,2,1,United States
Movie,2016,R,"Dramas, Independent Movies, Thrillers",10,2017,9,119.0,,3,6,United States
Movie,2017,TV-14,Stand-Up Comedy,9,2017,9,62.0,,1,1,United States
Movie,2017,TV-Y,Children & Family Movies,9,2017,9,64.0,,1,9,United States
Movie,2017,TV-MA,Dramas,9,2017,9,137.0,,1,10,Cambodia
Movie,2017,TV-MA,Documentaries,9,2017,9,108.0,,1,1,United States
TV Show,2017,TV-Y,Kids' TV,9,2017,9,,2.0,1,4,United States
Movie,2017,G,"Children & Family Movies, Documentaries",9,2017,9,78.0,,2,1,United States
TV Show,2017,TV-MA,"TV Comedies, TV Dramas",9,2017,9,,7.0,2,10,Australia
Movie,2017,TV-14,Documentaries,9,2017,9,40.0,,1,1,United States
Movie,2017,TV-MA,Stand-Up Comedy,9,2017,9,71.0,,1,1,United States
Movie,2017,TV-14,Comedies,9,2017,9,99.0,,1,12,United States
TV Show,2016,TV-MA,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows",10,2017,9,,1.0,3,5,Spain
Movie,2017,TV-MA,Stand-Up Comedy,9,2017,9,60.0,,1,1,Chile
TV Show,2017,TV-MA,"Docuseries, Science & Nature TV",9,2017,9,,1.0,2,1,United States
Movie,2017,TV-MA,Stand-Up Comedy,9,2017,9,78.0,,1,1,Unknown
Movie,2016,TV-MA,"Comedies, Dramas",10,2017,9,98.0,,2,8,United States
Movie,2017,TV-MA,Stand-Up Comedy,9,2017,9,70.0,,1,1,United States
TV Show,2016,TV-PG,"Romantic TV Shows, TV Comedies, TV Dramas",10,2017,9,,1.0,3,6,United States
TV Show,2017,TV-14,TV Dramas,9,2017,9,,4.0,1,13,United States
TV Show,2016,TV-14,"Crime TV Shows, TV Dramas, TV Mysteries",10,2017,9,,1.0,3,7,United States
TV Show,2016,TV-14,"TV Dramas, TV Mysteries, TV Sci-Fi & Fantasy",10,2017,9,,8.0,3,11,United States
TV Show,2017,TV-MA,"International TV Shows, TV Comedies, TV Dramas",9,2017,9,,1.0,3,7,Taiwan
TV Show,2017,TV-PG,"International TV Shows, TV Dramas, TV Horror",9,2017,9,,1.0,3,8,Taiwan
Movie,1988,TV-14,"Action & Adventure, International Movies",38,2017,9,148.0,,2,8,India
Movie,2017,TV-MA,"Documentaries, International Movies",9,2017,9,54.0,,2,1,Unknown
Movie,2012,TV-MA,"Action & Adventure, Anime Features, International Movies",14,2017,9,92.0,,3,14,Japan
Movie,2013,TV-MA,"Action & Adventure, Anime Features, International Movies",13,2017,9,107.0,,3,11,Japan
Movie,2006,TV-MA,"Dramas, Independent Movies",20,2017,9,90.0,,2,12,United States
Movie,1976,TV-PG,"Comedies, International Movies, Romantic Movies",50,2017,9,135.0,,3,1,India
Movie,1983,TV-14,"Dramas, International Movies, Music & Musicals",43,2017,9,151.0,,3,8,India
TV Show,2017,TV-PG,"International TV Shows, TV Dramas",9,2017,9,,1.0,2,6,Japan
TV Show,2007,TV-14,"Anime Series, International TV Shows",19,2017,9,,1.0,2,28,Japan
TV Show,1988,TV-PG,"Docuseries, Reality TV",38,2017,9,,1.0,2,1,United States
Movie,1973,TV-14,"Action & Adventure, International Movies",53,2017,9,132.0,,2,6,India
TV Show,2017,TV-Y7,Kids' TV,9,2017,9,,1.0,1,9,United States
Movie,2017,TV-MA,"Comedies, Horror Movies",9,2017,9,95.0,,2,12,United States
Movie,1974,TV-14,"Comedies, International Movies, Music & Musicals",52,2017,9,162.0,,3,10,India
Movie,1989,TV-14,"Action & Adventure, Dramas, International Movies",37,2017,9,163.0,,3,10,India
TV Show,2017,TV-MA,"Crime TV Shows, TV Action & Adventure, TV Dramas",9,2017,9,,3.0,3,42,United States
Movie,2016,TV-MA,"Action & Adventure, Comedies, International Movies",10,2017,9,89.0,,3,7,Germany
Movie,2017,TV-MA,"Documentaries, Sports Movies",9,2017,9,28.0,,2,1,United States
Movie,2016,TV-MA,"Documentaries, International Movies",10,2017,9,103.0,,2,1,France
Movie,1984,TV-14,"Dramas, International Movies, Romantic Movies",42,2017,9,160.0,,3,4,India
Movie,2016,TV-MA,"Comedies, Dramas, International Movies",10,2017,9,113.0,,3,8,Argentina
Movie,2016,TV-G,"Children & Family Movies, Comedies",10,2017,9,86.0,,2,8,China
Movie,2016,TV-14,"Documentaries, International Movies",10,2017,9,83.0,,2,1,United Kingdom
Movie,2017,TV-MA,"Dramas, International Movies",9,2017,9,113.0,,2,6,Argentina
Movie,2016,TV-MA,"Documentaries, International Movies",10,2017,9,86.0,,2,1,Argentina
Movie,2017,TV-14,Stand-Up Comedy,9,2017,8,57.0,,1,1,United States
Movie,2016,TV-MA,"Independent Movies, Thrillers",10,2017,8,98.0,,2,11,United States
Movie,2017,R,"International Movies, Thrillers",9,2017,8,116.0,,2,5,Australia
Movie,2017,TV-MA,"Horror Movies, Thrillers",9,2017,8,100.0,,2,7,United States
Movie,2017,TV-MA,Stand-Up Comedy,9,2017,8,51.0,,1,1,United States
TV Show,2017,TV-Y7,Kids' TV,9,2017,8,,5.0,1,6,United States
TV Show,2017,TV-MA,"Crime TV Shows, TV Action & Adventure, TV Dramas",9,2017,8,,1.0,3,15,United States
Movie,2011,PG-13,"Documentaries, Sports Movies",15,2017,8,113.0,,2,4,United States
Movie,2017,TV-MA,"Action & Adventure, Sci-Fi & Fantasy",9,2017,8,124.0,,2,11,United Kingdom
TV Show,2013,TV-MA,"Crime TV Shows, International TV Shows, TV Dramas",13,2017,8,,1.0,3,8,Turkey
Movie,2017,TV-MA,"Music & Musicals, Stand-Up Comedy",9,2017,8,63.0,,2,6,United States
Movie,2015,TV-MA,Stand-Up Comedy,11,2017,8,56.0,,1,1,United States
TV Show,2017,TV-MA,"Crime TV Shows, International TV Shows, TV Dramas",9,2017,8,,1.0,3,16,Japan
Movie,2017,TV-14,Comedies,9,2017,8,94.0,,1,9,United States
Movie,2017,TV-MA,Dramas,9,2017,8,90.0,,1,10,United States
Movie,2015,TV-MA,"Dramas, International Movies",11,2017,8,71.0,,2,11,Mexico
Movie,2017,TV-14,"Comedies, Romantic Movies",9,2017,8,97.0,,2,12,United States
Movie,2015,R,"Horror Movies, Independent Movies",11,2017,8,83.0,,2,10,United States
Movie,2017,TV-14,Action & Adventure,9,2017,8,92.0,,1,10,United States
Movie,2017,TV-MA,"Action & Adventure, Dramas, International Movies",9,2017,8,165.0,,3,8,India
Movie,2017,TV-14,"Action & Adventure, Dramas, International Movies",9,2017,8,166.0,,3,8,Unknown
Movie,2017,TV-MA,"Action & Adventure, Dramas, International Movies",9,2017,8,166.0,,3,8,Unknown
Movie,2015,TV-14,"Action & Adventure, Dramas, International Movies",11,2017,8,159.0,,3,8,India
Movie,2015,TV-14,"Action & Adventure, Dramas, International Movies",11,2017,8,160.0,,3,8,Unknown
Movie,2015,TV-14,"Action & Adventure, Dramas, International Movies",11,2017,8,159.0,,3,8,Unknown
Movie,2015,TV-Y7,Children & Family Movies,11,2017,8,22.0,,1,12,United States
Movie,2016,PG-13,"Action & Adventure, International Movies, Sci-Fi & Fantasy",10,2017,8,105.0,,3,8,France
Movie,2017,TV-MA,Stand-Up Comedy,9,2017,8,54.0,,1,1,Mexico
Movie,2017,TV-MA,"Documentaries, Sports Movies",9,2017,8,121.0,,2,2,United States
Movie,2017,R,"Independent Movies, Thrillers",9,2017,8,103.0,,2,8,United Kingdom
TV Show,2017,TV-MA,TV Comedies,9,2017,8,,1.0,1,33,United States
Movie,2017,TV-MA,"International Movies, Thrillers",9,2017,8,129.0,,2,9,Spain
TV Show,2011,TV-14,"International TV Shows, TV Dramas, TV Sci-Fi & Fantasy",15,2017,8,,1.0,3,8,Singapore
TV Show,2016,TV-14,"Crime TV Shows, International TV Shows, TV Dramas",10,2017,8,,1.0,3,8,Taiwan
TV Show,2014,TV-14,"International TV Shows, TV Dramas",12,2017,8,,1.0,2,8,South Korea
TV Show,2015,TV-14,"Crime TV Shows, International TV Shows, TV Dramas",11,2017,8,,1.0,3,6,Russia
Movie,2016,TV-MA,"Comedies, Dramas, International Movies",10,2017,8,95.0,,3,11,Ireland
TV Show,2016,TV-14,"Crime TV Shows, International TV Shows, TV Dramas",10,2017,8,,1.0,3,4,Unknown
Movie,2016,TV-Y,"Children & Family Movies, Comedies",10,2017,8,80.0,,2,10,United States
TV Show,2016,TV-PG,"International TV Shows, Romantic TV Shows, TV Dramas",10,2017,8,,1.0,3,5,Taiwan
TV Show,2014,TV-MA,"Crime TV Shows, International TV Shows, Romantic TV Shows",12,2017,8,,1.0,3,6,Russia
TV Show,2016,TV-14,"International TV Shows, Romantic TV Shows, TV Comedies",10,2017,8,,1.0,3,6,Unknown
Movie,2017,TV-14,Stand-Up Comedy,9,2017,8,67.0,,1,1,Unknown
Movie,2016,TV-MA,"Comedies, Independent Movies, Music & Musicals",10,2017,8,84.0,,3,10,United States
Movie,2016,TV-Y,"Children & Family Movies, Dramas, Sports Movies",10,2017,8,97.0,,3,10,Australia
TV Show,2017,TV-MA,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows",9,2017,8,,1.0,3,12,Unknown
Movie,2016,TV-MA,"Dramas, Independent Movies, International Movies",10,2017,8,86.0,,3,9,Chile
TV Show,2011,TV-14,"International TV Shows, TV Dramas",15,2017,8,,1.0,2,6,Singapore
TV Show,2013,TV-MA,"British TV Shows, Classic & Cult TV, International TV Shows",13,2017,8,,5.0,3,4,United Kingdom
Movie,2015,TV-MA,"Comedies, Dramas, International Movies",11,2017,8,114.0,,3,10,France
TV Show,2012,TV-MA,"British TV Shows, Crime TV Shows, International TV Shows",14,2017,8,,2.0,3,8,United Kingdom
TV Show,2009,TV-MA,"British TV Shows, Docuseries, International TV Shows",17,2017,8,,1.0,3,1,United Kingdom
TV Show,2017,TV-14,Docuseries,9,2017,7,,1.0,1,1,United States
Movie,2017,TV-MA,"Comedies, Independent Movies, Romantic Movies",9,2017,7,84.0,,3,10,United States
Movie,2017,TV-MA,Stand-Up Comedy,9,2017,7,67.0,,1,1,United States
Movie,2016,TV-14,"Documentaries, Music & Musicals",10,2017,7,91.0,,2,1,Sweden
Movie,2017,TV-MA,Stand-Up Comedy,9,2017,7,63.0,,1,1,India
TV Show,2017,TV-MA,Stand-Up Comedy & Talk Shows,9,2017,7,,1.0,1,1,United States
Movie,2017,TV-MA,"Dramas, International Movies",9,2017,7,116.0,,2,10,Spain
Movie,2017,TV-MA,"Dramas, International Movies, Romantic Movies",9,2017,7,104.0,,3,9,Spain
Movie,2017,TV-Y7,"Children & Family Movies, Comedies",9,2017,7,14.0,,2,10,United States
Movie,2017,TV-PG,Documentaries,9,2017,7,89.0,,1,1,United States
Movie,2017,TV-MA,"Dramas, Independent Movies",9,2017,7,108.0,,2,9,United States
Movie,2014,TV-MA,Stand-Up Comedy,12,2017,7,59.0,,1,1,United States
Movie,2014,TV-MA,Stand-Up Comedy,12,2017,7,74.0,,1,1,United States
TV Show,2017,TV-Y7,Kids' TV,9,2017,7,,4.0,1,11,United States
TV Show,2017,TV-14,"International TV Shows, TV Dramas, Teen TV Shows",9,2017,7,,4.0,3,19,Canada
TV Show,2015,TV-PG,"International TV Shows, Romantic TV Shows, TV Dramas",11,2017,7,,1.0,3,5,China
TV Show,2012,TV-14,"International TV Shows, TV Dramas",14,2017,7,,1.0,2,8,China
TV Show,2012,TV-14,"International TV Shows, TV Dramas",14,2017,7,,1.0,2,8,China
Movie,2017,TV-MA,"Comedies, Independent Movies",9,2017,7,84.0,,2,8,United States
TV Show,2008,TV-14,"International TV Shows, TV Action & Adventure, TV Dramas",18,2017,7,,1.0,3,10,China
Movie,2012,TV-14,"Comedies, Dramas, International Movies",14,2017,7,97.0,,3,6,France
TV Show,2016,TV-MA,"International TV Shows, TV Dramas, TV Mysteries",10,2017,7,,1.0,3,10,Turkey
Movie,2011,PG,"Children & Family Movies, Dramas, Sports Movies",15,2017,7,95.0,,3,10,Australia
TV Show,2014,TV-14,"Crime TV Shows, International TV Shows, TV Dramas",12,2017,7,,1.0,3,8,Singapore
Movie,1966,TV-PG,"Dramas, International Movies, Music & Musicals",60,2017,7,116.0,,3,8,India
TV Show,2012,TV-Y,"Kids' TV, TV Comedies",14,2017,7,,1.0,2,10,United States
TV Show,2010,TV-14,"International TV Shows, TV Dramas",16,2017,7,,1.0,2,6,Unknown
Movie,2018,TV-MA,Stand-Up Comedy,8,2017,7,86.0,,1,1,Netherlands
TV Show,2016,TV-MA,"International TV Shows, Romantic TV Shows, TV Dramas",10,2017,7,,3.0,3,10,Turkey
Movie,1971,TV-14,"Classic Movies, Dramas, International Movies",55,2017,7,153.0,,3,10,India
TV Show,2015,TV-Y,"British TV Shows, Kids' TV",11,2017,7,,1.0,2,3,United Kingdom
Movie,2013,TV-MA,"Dramas, Independent Movies, International Movies",13,2017,7,104.0,,3,4,India
TV Show,2014,TV-14,"International TV Shows, TV Dramas, TV Horror",12,2017,7,,1.0,3,4,Singapore
Movie,1962,TV-PG,"Comedies, Dramas, International Movies",64,2017,7,163.0,,3,10,India
TV Show,2014,TV-14,"International TV Shows, Romantic TV Shows, TV Dramas",12,2017,7,,1.0,3,7,Unknown
Movie,2016,TV-14,"International Movies, Thrillers",10,2017,7,106.0,,2,7,Spain
TV Show,2011,TV-14,"International TV Shows, Romantic TV Shows, TV Dramas",15,2017,7,,1.0,3,6,Singapore
TV Show,2016,TV-MA,"Crime TV Shows, International TV Shows, TV Dramas",10,2017,7,,1.0,3,4,Singapore
TV Show,2009,TV-14,"International TV Shows, TV Dramas",17,2017,7,,1.0,2,7,Singapore
TV Show,2012,TV-14,"Crime TV Shows, International TV Shows, TV Dramas",14,2017,7,,2.0,3,7,Singapore
TV Show,2014,TV-14,"International TV Shows, TV Dramas",12,2017,7,,1.0,2,9,Singapore
Movie,1994,TV-14,"Dramas, International Movies",32,2017,7,148.0,,2,10,India
TV Show,2014,TV-14,"International TV Shows, TV Dramas",12,2017,7,,1.0,2,9,Singapore
TV Show,2012,TV-14,"International TV Shows, Romantic TV Shows, TV Comedies",14,2017,7,,1.0,3,7,Singapore
Movie,2016,TV-PG,"Children & Family Movies, Comedies",10,2017,7,105.0,,2,11,Spain
TV Show,2017,TV-14,"Crime TV Shows, TV Dramas, TV Mysteries",9,2017,6,,12.0,3,11,United States
TV Show,2017,TV-MA,TV Dramas,9,2017,6,,1.0,1,11,United States
TV Show,2017,TV-Y7,"Anime Series, International TV Shows",9,2017,6,,2.0,2,10,Japan
Movie,2017,TV-MA,"Action & Adventure, Comedies, Dramas",9,2017,6,121.0,,3,13,South Korea
Movie,2017,TV-MA,Stand-Up Comedy,9,2017,6,66.0,,1,1,United States
Movie,2015,TV-MA,"Dramas, LGBTQ Movies",11,2017,6,102.0,,2,10,United States
Movie,2017,TV-14,Documentaries,9,2017,6,96.0,,1,1,Netherlands
Movie,2017,TV-MA,"Dramas, Thrillers",9,2017,6,89.0,,2,9,United States
Movie,2016,TV-PG,"Dramas, International Movies, Sports Movies",10,2017,6,161.0,,3,8,India
TV Show,2017,TV-14,TV Comedies,9,2017,6,,5.0,1,7,United States
TV Show,2014,TV-Y7,"Kids' TV, TV Comedies",12,2017,6,,2.0,2,8,United States
Movie,2017,TV-Y7,"Children & Family Movies, Comedies",9,2017,6,24.0,,2,8,United States
Movie,2017,TV-MA,Stand-Up Comedy,9,2017,6,66.0,,1,1,United States
TV Show,2016,TV-MA,"Crime TV Shows, TV Dramas",10,2017,6,,2.0,2,12,United States
Movie,2017,TV-MA,"Documentaries, Sports Movies",9,2017,6,91.0,,2,1,United States
Movie,2017,TV-PG,Documentaries,9,2017,6,92.0,,1,1,United States
TV Show,2017,TV-Y7,Kids' TV,9,2017,6,,2.0,1,16,Italy
Movie,2017,TV-PG,"Comedies, Dramas, International Movies",9,2017,6,104.0,,3,8,India
Movie,2017,TV-MA,Stand-Up Comedy,9,2017,6,73.0,,1,1,Brazil
Movie,2017,TV-PG,Documentaries,9,2017,6,47.0,,1,1,United Kingdom
Movie,2017,TV-MA,Stand-Up Comedy,9,2017,6,102.0,,1,2,United States
TV Show,2016,TV-PG,"International TV Shows, Korean TV Shows, Romantic TV Shows",10,2017,6,,1.0,3,4,South Korea
TV Show,2016,TV-PG,"International TV Shows, Korean TV Shows, Romantic TV Shows",10,2017,6,,1.0,3,4,South Korea
TV Show,2017,TV-14,"Crime TV Shows, International TV Shows, Korean TV Shows",9,2017,6,,1.0,3,10,South Korea
TV Show,2016,TV-PG,"Crime TV Shows, International TV Shows, Korean TV Shows",10,2017,6,,1.0,3,4,South Korea
TV Show,2015,TV-14,"International TV Shows, Romantic TV Shows, TV Dramas",11,2017,6,,1.0,3,5,China
TV Show,2016,TV-14,"International TV Shows, Korean TV Shows, TV Dramas",10,2017,6,,1.0,3,5,South Korea
TV Show,2017,TV-MA,"International TV Shows, Korean TV Shows, Romantic TV Shows",9,2017,6,,1.0,3,6,South Korea
Movie,2017,TV-MA,"Dramas, Independent Movies, Thrillers",9,2017,6,87.0,,3,11,Canada
Movie,2017,TV-14,"Children & Family Movies, Dramas, Music & Musicals",9,2017,6,117.0,,3,6,India
Movie,2016,TV-MA,"Action & Adventure, International Movies",10,2017,6,119.0,,2,9,Indonesia
Movie,2016,R,"Dramas, International Movies",10,2017,6,130.0,,2,10,Spain
TV Show,2016,TV-MA,"British TV Shows, International TV Shows, Romantic TV Shows",10,2017,6,,1.0,3,7,United Kingdom
TV Show,2017,TV-MA,"TV Comedies, TV Dramas",9,2017,6,,2.0,2,15,United States
Movie,2017,TV-MA,"International Movies, Sci-Fi & Fantasy, Thrillers",9,2017,6,102.0,,3,6,South Korea
Movie,1993,TV-14,"Dramas, International Movies, Music & Musicals",33,2017,6,154.0,,3,6,India
Movie,2017,TV-PG,Documentaries,9,2017,6,44.0,,1,1,United Kingdom
Movie,2016,TV-MA,"Comedies, Independent Movies",10,2017,6,96.0,,2,10,United States
Movie,2017,TV-14,Documentaries,9,2017,6,47.0,,1,1,United Kingdom
Movie,2017,TV-PG,Documentaries,9,2017,6,44.0,,1,1,United Kingdom
Movie,2015,TV-MA,"Dramas, Independent Movies, International Movies",11,2017,6,109.0,,3,4,India
Movie,2016,TV-MA,"Comedies, Dramas, Independent Movies",10,2017,6,89.0,,3,10,United States
Movie,2017,TV-MA,"Comedies, International Movies, Romantic Movies",9,2017,6,92.0,,3,8,Brazil
Movie,1993,TV-14,"Dramas, International Movies, Music & Musicals",33,2017,6,122.0,,3,9,France
Movie,2017,TV-PG,"Documentaries, International Movies, LGBTQ Movies",9,2017,6,19.0,,3,1,Canada
TV Show,2015,TV-14,"Crime TV Shows, International TV Shows, TV Dramas",11,2017,6,,1.0,3,5,Singapore
TV Show,2016,TV-Y7,"Kids' TV, Korean TV Shows",10,2017,6,,1.0,2,9,Unknown
